Name,Release Date,URL,Company,Size (B),Domain,Reasoning Model,License,,,,,,,,,,,,,,,,,,,,
gemma-2-27b-it,06/27/2024,https://huggingface.co/google/gemma-2-27b-it,Google,27,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-3-1b-it,03/12/2025,https://huggingface.co/google/gemma-3-1b-it,Google,1,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-3-4b-it,03/12/2025,https://huggingface.co/google/gemma-3-4b-it,Google,4,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-3-12b-it,03/12/2025,https://huggingface.co/google/gemma-3-12b-it,Google,12,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-3-12b-pt,03/12/2025,https://huggingface.co/google/gemma-3-12b-pt,Google,12,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-4-E2B-it,04/02/2025,https://huggingface.co/google/gemma-4-E2B-it,Google,5,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
gemma-4-E4B-it,04/02/2025,https://huggingface.co/google/gemma-4-E4B-it,Google,8,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
gemma-4-26B-A4B-it,04/02/2025,https://huggingface.co/google/gemma-4-26B-A4B-it,Google,27,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
gemma-4-31B-it,04/02/2025,https://huggingface.co/google/gemma-4-31B-it,Google,33,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
gemma-3-12b-pt-ylab-4-1-1,03/12/2025,https://huggingface.co/google/gemma-3-12b-pt,Google,12,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-3-12b-pt-ylab-8-1-1,03/12/2025,https://huggingface.co/google/gemma-3-12b-pt,Google,12,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-3-12b-pt-ylab-16-1-1,03/12/2025,https://huggingface.co/google/gemma-3-12b-pt,Google,12,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-3-27b-it,03/12/2025,https://huggingface.co/google/gemma-3-27b-it,Google,27,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
gemma-3-27b-pt,03/12/2025,https://huggingface.co/google/gemma-3-27b-pt,Google,27,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
medgemma-4b-it,05/20/2025,https://huggingface.co/google/medgemma-4b-it,Google,4,Medical,No,Health AI Developer Foundations terms of use,,,,,,,,,,,,,,,,,,,,
medgemma-27b-it,05/20/2025,https://huggingface.co/google/medgemma-27b-it,Google,27,Medical,No,Health AI Developer Foundations terms of use,,,,,,,,,,,,,,,,,,,,
medgemma-27b-text-it,05/20/2025,https://huggingface.co/google/medgemma-27b-text-it,Google,27,Medical,No,Health AI Developer Foundations terms of use,,,,,,,,,,,,,,,,,,,,
K2-Think,09/08/2025,https://huggingface.co/LLM360/K2-Think,LLM360,32,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Llama-2-7b-chat,07/18/2023,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf,Meta-llama,7,General,No,llama2,,,,,,,,,,,,,,,,,,,,
Llama-2-13b-chat,07/18/2023,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf,Meta-llama,13,General,No,llama2,,,,,,,,,,,,,,,,,,,,
Llama-2-70b-chat,07/18/2023,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,Meta-llama,70,General,No,llama2,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B-Instruct,07/23/2024,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,Meta-llama,8,General,No,Llama-3.1,,,,,,,,,,,,,,,,,,,,
Llama-3.1-70B-Instruct,07/23/2024,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,Meta-llama,70,General,No,Llama-3.1,,,,,,,,,,,,,,,,,,,,
Llama-3.2-1B-Instruct,09/25/2024,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,Meta-llama,1,General,No,Llama-3.1,,,,,,,,,,,,,,,,,,,,
Llama-3.2-3B-Instruct,09/25/2024,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,Meta-llama,3,General,No,Llama-3.1,,,,,,,,,,,,,,,,,,,,
Llama-3.3-70B-Instruct,12/06/2024,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,Meta-llama,70,General,No,Llama-3.3,,,,,,,,,,,,,,,,,,,,
Llama-4-Scout-17B-16E-Instruct,4/25/2025,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,Meta-llama,109,General,No,Llama-4,,,,,,,,,,,,,,,,,,,,
Llama-3.1-Nemotron-70B-Instruct-HF,10/17/2024,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,Nvidia,70,General,No,Llama-3.1,,,,,,,,,,,,,,,,,,,,
meditron-7b,11/27/2023,https://github.com/epfLLM/meditron,EPFL,7,Medical,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
meditron-70b,11/27/2023,https://github.com/epfLLM/meditron,EPFL,70,Medical,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
MeLLaMA-13B-chat,06/05/2024,https://physionet.org/content/me-llama/1.0.0/,University of Florida,13,Medical,No,PhysioNet Credentialed Health Data License 1.5.0,,,,,,,,,,,,,,,,,,,,
MeLLaMA-70B-chat,06/05/2024,https://physionet.org/content/me-llama/1.0.0/,University of Florida,70,Medical,No,PhysioNet Credentialed Health Data License 1.5.0,,,,,,,,,,,,,,,,,,,,
Llama3-OpenBioLLM-8B,04/20/2024,https://huggingface.co/aaditya/Llama3-OpenBioLLM-8B,SAAMA,8,Medical,No,Llama-3,,,,,,,,,,,,,,,,,,,,
Llama3-OpenBioLLM-70B,04/24/2024,https://huggingface.co/aaditya/Llama3-OpenBioLLM-70B,SAAMA,70,Medical,No,Llama-3,,,,,,,,,,,,,,,,,,,,
MMed-Llama-3-8B,05/24/2024,https://huggingface.co/Henrychur/MMed-Llama-3-8B,SJTU and Shanghai AI Lab,8,Medical,No,Llama-3,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B-UltraMedical,9/1/2024,https://huggingface.co/TsinghuaC3I/Llama-3.1-8B-UltraMedical,Tsinghua C3I Lab,8,Medical,No,Llama-3,,,,,,,,,,,,,,,,,,,,
Llama-3-70B-UltraMedical,9/2/2024,https://huggingface.co/TsinghuaC3I/Llama-3-70B-UltraMedical,Tsinghua C3I Lab,70,Medical,No,Llama-3,,,,,,,,,,,,,,,,,,,,
Ministral-8B-Instruct-2410,10/21/2024,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,mistralai,8,General,No,MRL,,,,,,,,,,,,,,,,,,,,
Mistral-Small-Instruct-2409,09/17/2024,https://huggingface.co/mistralai/Mistral-Small-Instruct-2409,mistralai,22,General,No,MRL,,,,,,,,,,,,,,,,,,,,
Mistral-Small-24B-Instruct-2501,01/30/2025,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501,mistralai,24,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Mistral-Small-3.1-24B-Instruct-2503,3/17/2025,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503,mistralai,24,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Magistral-Small-2506,06/10/2025,https://huggingface.co/mistralai/Magistral-Small-2506,mistralai,24,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Mistral-Large-Instruct-2411,11/18/2024,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411,mistralai,123,General,No,MRL,,,,,,,,,,,,,,,,,,,,
BioMistral-7B,02/14/2024,https://huggingface.co/BioMistral,Nantes Université,7,Medical,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Phi-3.5-mini-instruct,08/17/2024,https://huggingface.co/microsoft/Phi-3.5-mini-instruct,Microsoft,4,General,No,MIT,,,,,,,,,,,,,,,,,,,,
Phi-3.5-MoE-instruct,08/17/2024,https://huggingface.co/microsoft/Phi-3.5-MoE-instruct,Microsoft,42,General,No,MIT,,,,,,,,,,,,,,,,,,,,
Phi-4,12/11/2024,https://huggingface.co/microsoft/phi-4,Microsoft,14,General,No,MIT,,,,,,,,,,,,,,,,,,,,
Phi-4-mini-instruct,02/19/2025,https://huggingface.co/microsoft/Phi-4-mini-instruct,Microsoft,4,General,No,MIT,,,,,,,,,,,,,,,,,,,,
Phi-4-mini-reasoning,04/29/2025,https://huggingface.co/microsoft/Phi-4-mini-reasoning,Microsoft,4,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
Phi-4-reasoning,04/09/2025,https://huggingface.co/microsoft/Phi-4-reasoning,Microsoft,14,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
Phi-4-reasoning-plus,04/17/2025,https://huggingface.co/microsoft/Phi-4-reasoning-plus,Microsoft,14,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
Qwen2.5-1.5B-Instruct,09/17/2024,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen2.5-3B-Instruct,09/17/2024,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,Qwen,3,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B-Instruct,09/16/2024,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Qwen,7,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B-Instruct,09/17/2024,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Qwen,32,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen2.5-72B-Instruct,09/16/2024,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,Qwen,72,General,No,Qwen,,,,,,,,,,,,,,,,,,,,
QwQ-32B-Preview,11/27/2024,https://huggingface.co/Qwen/QwQ-32B-Preview,Qwen,32,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
QWQ-32B,3/5/2025,https://huggingface.co/Qwen/QwQ-32B,Qwen,32,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-0.6B-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-0.6B,Qwen,0.6,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-0.6B-Non-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-0.6B,Qwen,0.6,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-1.7B-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-1.7B,Qwen,1.7,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-1.7B-Non-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-1.7B,Qwen,1.7,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-4B-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-4B,Qwen,4,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-4B-Non-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-4B,Qwen,4,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-8B-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-8B,Qwen,8,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-8B-Non-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-8B,Qwen,8,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-14B-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-14B,Qwen,14,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-14B-Non-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-14B,Qwen,14,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-32B-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-32B,Qwen,32,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-32B-Non-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-32B,Qwen,32,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-30B-A3B-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-30B-A3B,Qwen,30,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-30B-A3B-Non-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-30B-A3B,Qwen,30,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-235B-A22B-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-235B-A22B,Qwen,235,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-235B-A22B-Non-Thinking,4/28/2025,https://huggingface.co/Qwen/Qwen3-235B-A22B,Qwen,235,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-4B-Instruct-2507,08/05/2025,https://huggingface.co/Qwen/Qwen3-4B-Instruct-2507,Qwen,4,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-4B-Thinking-2507,08/05/2025,https://huggingface.co/Qwen/Qwen3-4B-Thinking-2507,Qwen,4,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,07/28/2025,https://huggingface.co/Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen,30,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-30B-A3B-Thinking-2507,07/29/2025,https://huggingface.co/Qwen/Qwen3-30B-A3B-Thinking-2507,Qwen,30,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-Next-80B-A3B-Instruct,09/09/2025,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen,80,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Qwen3-Next-80B-A3B-Thinking,09/09/2025,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Thinking,Qwen,80,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
OpenThinker3-7B,05/27/2025,https://huggingface.co/open-thoughts/OpenThinker3-7B,open-thoughts,7,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Hulu-Med-7B,10/9/2025,https://huggingface.co/ZJU-AI4H/Hulu-Med-7B,ZJU-AI4H,7,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Hulu-Med-14B,10/9/2025,https://huggingface.co/ZJU-AI4H/Hulu-Med-14B,ZJU-AI4H,14,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Hulu-Med-32B,10/9/2025,https://huggingface.co/ZJU-AI4H/Hulu-Med-32B,ZJU-AI4H,32,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Biomni-R0-32B-Preview-Thinking,10/6/2025,https://huggingface.co/biomni/Biomni-R0-32B-Preview,biomni,32,Medical,Yes,MIT,,,,,,,,,,,,,,,,,,,,
Biomni-R0-32B-Preview-Non-Thinking,10/6/2025,https://huggingface.co/biomni/Biomni-R0-32B-Preview,biomni,32,Medical,Yes,MIT,,,,,,,,,,,,,,,,,,,,
AntAngelMed,12/12/2025,https://huggingface.co/MedAIBase/AntAngelMed,MedAIBase,103,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
QwenLong-L1-32B,5/23/2025,https://huggingface.co/Tongyi-Zhiwen/QwenLong-L1-32B,Tongyi-Zhiwen,32,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Athene-V2-Chat,11/12/2024,https://huggingface.co/Nexusflow/Athene-V2-Chat,Nexusflow,72,General,No,Nexusflow Research License,,,,,,,,,,,,,,,,,,,,
Yi-1.5-9B-Chat-16K,05/15/2024,https://huggingface.co/01-ai/Yi-1.5-9B-Chat-16K,01-ai,9,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
Yi-1.5-34B-Chat-16K,05/15/2024,https://huggingface.co/01-ai/Yi-1.5-34B-Chat-16K,01-ai,34,General,No,Apache 2.0,,,,,,,,,,,,,,,,,,,,
HuatuoGPT-o1-7B,01/06/2025,https://huggingface.co/FreedomIntelligence/HuatuoGPT-o1-7B,FreedomIntelligence,7,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
HuatuoGPT-o1-8B,12/27/2024,https://huggingface.co/FreedomIntelligence/HuatuoGPT-o1-8B,FreedomIntelligence,8,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
HuatuoGPT-o1-70B,12/27/2024,https://huggingface.co/FreedomIntelligence/HuatuoGPT-o1-70B,FreedomIntelligence,70,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
HuatuoGPT-o1-72B,01/09/2025,https://huggingface.co/FreedomIntelligence/HuatuoGPT-o1-72B,FreedomIntelligence,72,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
MedReason-8B,04/01/2025,https://huggingface.co/UCSC-VLAA/MedReason-8B,UCSC-VLAA,8,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b,08/04/2025,https://huggingface.co/openai/gpt-oss-20b,OpenAI,20,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b,08/04/2025,https://huggingface.co/openai/gpt-oss-120b,OpenAI,120,General,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
gpt-35-turbo-0125,01/25/2024,https://platform.openai.com/docs/models/gpt-3.5-turbo,OpenAI,Unknown,General,No,Proprietary,,,,,,,,,,,,,,,,,,,,
gpt-4o-0806,08/06/2024,https://platform.openai.com/docs/models/gpt-4o,OpenAI,Unknown,General,No,Proprietary,,,,,,,,,,,,,,,,,,,,
gemini-2.0-flash-001,02/05/2025,https://deepmind.google/technologies/gemini/,Google,Unknown,General,No,Proprietary,,,,,,,,,,,,,,,,,,,,
gemini-2.5-flash,05/17/2025,https://deepmind.google/technologies/gemini/,Google,Unknown,General,Yes,Proprietary,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-002,09/24/2024,https://deepmind.google/technologies/gemini/,Google,Unknown,General,No,Proprietary,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
